listing_key,domain,matrix_modified_dt,address,city,state,zip,list_price
HAR100,SALE,2025-10-05T12:00:00-05:00,100 Main St,Houston,TX,77002,350000
HAR101,SALE,2025-10-05T13:30:00-05:00,101 Main St,Houston,TX,77002,360000
HAR102,SALE,2025-10-06T01:15:00-05:00,102 Main St,Sugar Land,TX,77479,370000
HAR103,SALE,2025-10-06T03:45:00-05:00,103 Main St,Sugar Land,TX,77479,380000
HAR104,SALE,2025-10-07T09:00:00-05:00,104 Main St,Austin,TX,73301,390000
HAR200,RENTAL,2025-10-06T06:00:00-05:00,200 Elm St,Houston,TX,77002,2200
HAR201,RENTAL,2025-10-07T07:30:00-05:00,201 Elm St,Houston,TX,77002,2300
HAR202,RENTAL,2025-10-07T08:45:00-05:00,202 Elm St,Austin,TX,73301,2400
HAR203,RENTAL,2025-10-07T10:15:00-05:00,203 Elm St,Austin,TX,73301,2500
HAR204,RENTAL,2025-10-08T11:00:00-05:00,204 Elm St,Austin,TX,73301,2600
